Company name,Fyers symbol,BSE Code,Symbol
ACC LTD.,BSE:ACC-A,500410,ACC
THERMAX LTD.,BSE:THERMAX-A,500411,THERMAX
THIRUMALAI CHEMICALS LTD.,BSE:TIRUMALCHM-A,500412,TIRUMALCHM
THOMAS COOK (INDIA) LTD.,BSE:THOMASCOOK-B,500413,THOMASCOOK
TIMEX GROUP INDIA LTD.,BSE:TIMEX-B,500414,TIMEX
TOKYO PLAST INTERNATIONAL LTD.,BSE:TOKYOPLAST-B,500418,TOKYOPLAST
TORRENT PHARMACEUTICALS LTD.,BSE:TORNTPHARM-A,500420,TORNTPHARM
TPI INDIA LTD.,BSE:TPINDIA-XT,500421,TPINDIA
TRANSCHEM LTD.,BSE:TRANSCHEM-XT,500422,TRANSCHEM
AMBUJA CEMENTS LTD.,BSE:AMBUJACEM-A,500425,AMBUJACEM
UTL INDUSTRIES LIMITED,BSE:UTLINDS-X,500426,UTLINDS
UNIPHOS ENTERPRISES LTD.,BSE:UNIENTER-B,500429,UNIENTER
VARDHMAN HOLDINGS LTD.,BSE:VHL-B,500439,VHL
HINDALCO INDUSTRIES LTD.,BSE:HINDALCO-A,500440,HINDALCO
West Coast Paper Mills Limited,BSE:WSTCSTPAPR-A,500444,WSTCSTPAPR
HINDUSTAN ORGANIC CHEMICALS LT,BSE:HOCL-B,500449,HOCL
MPIL CORPORATION LTD.,BSE:MPILCORPL-X,500450,MPILCORPL
PASUPATI ACRYLON LTD.,BSE:PASUPTAC-B,500456,PASUPTAC
Kore Foods Limited,BSE:KORE-X,500458,KORE
PROCTER & GAMBLE HYGIENE & HEA,BSE:PGHH-A,500459,PGHH
MUKAND LTD.,BSE:MUKANDLTD-B,500460,MUKANDLTD
BLACK BOX LIMITED,BSE:BBOX-B,500463,BBOX
UCAL LIMITED,BSE:UCAL-B,500464,UCAL
HARRISONS MALAYALAM LTD.,BSE:HARRMALAYA-B,500467,HARRMALAYA
FEDERAL BANK LTD.,BSE:FEDERALBNK-A,500469,FEDERALBNK
TATA STEEL LTD.,BSE:TATASTEEL-A,500470,TATASTEEL
SKF INDIA LTD.,BSE:SKFINDIA-A,500472,SKFINDIA
ASHOK LEYLAND LTD.,BSE:ASHOKLEY-A,500477,ASHOKLEY
CUMMINS INDIA LTD.,BSE:CUMMINSIND-A,500480,CUMMINSIND
TATA COMMUNICATIONS LTD.,BSE:TATACOMM-A,500483,TATACOMM
ABBOTT INDIA LTD.,BSE:ABBOTINDIA-A,500488,ABBOTINDIA
BAJAJ HOLDINGS & INVESTMENT LT,BSE:BAJAJHLDNG-A,500490,BAJAJHLDNG
BHARAT FORGE LTD.,BSE:BHARATFORG-A,500493,BHARATFORG
Escorts Kubota Limited,BSE:ESCORTS-A,500495,ESCORTS
HINDUSTAN MOTORS LTD.,BSE:HINDMOTORS-B,500500,HINDMOTORS
LARSEN & TOUBRO LTD.,BSE:LT-A,500510,LT
MAHINDRA & MAHINDRA LTD.,BSE:M&M-A,500520,M&M
BOSCH LTD.,BSE:BOSCHLTD-A,500530,BOSCHLTD
PREMIER LTD.,BSE:PREMIER-T,500540,PREMIER
BHARAT PETROLEUM CORPORATION L,BSE:BPCL-A,500547,BPCL
SIEMENS LTD.,BSE:SIEMENS-A,500550,SIEMENS
TATA MOTORS LTD.,BSE:TATAMOTORS-A,500570,TATAMOTORS
VOLTAS LTD.,BSE:VOLTAS-A,500575,VOLTAS
GREAT EASTERN SHIPPING CO.LTD.,BSE:GESHIP-A,500620,GESHIP
DEEPAK FERTILISERS & PETROCHEM,BSE:DEEPAKFERT-A,500645,DEEPAKFERT
EXCEL INDUSTRIES LTD.,BSE:EXCELINDUS-B,500650,EXCELINDUS
GARWARE HI-TECH FILMS LIMITED,BSE:GRWRHITECH-B,500655,GRWRHITECH
GLAXOSMITHKLINE PHARMACEUTICAL,BSE:GLAXO-A,500660,GLAXO
GUJARAT NARMADA VALLEY FERTILI,BSE:GNFC-A,500670,GNFC
NOVARTIS INDIA LTD.,BSE:NOVARTIND-B,500672,NOVARTIND
SANOFI INDIA LTD,BSE:SANOFI-A,500674,SANOFI
PFIZER LTD.,BSE:PFIZER-A,500680,PFIZER
GUJARAT STATE FERTILIZERS & CH,BSE:GSFC-A,500690,GSFC
HINDUSTAN UNILEVER LTD.,BSE:HINDUNILVR-A,500696,HINDUNILVR
AKZO NOBEL INDIA LIMITED,BSE:AKZOINDIA-A,500710,AKZOINDIA
NOCIL LTD.,BSE:NOCIL-A,500730,NOCIL
TATA CHEMICALS LTD.,BSE:TATACHEM-A,500770,TATACHEM
TAMILNADU PETROPRODUCTS LTD.,BSE:TNPETRO-B,500777,TNPETRO
Zuari Industries Limited,BSE:ZUARIIND-B,500780,ZUARIIND
NESTLE INDIA LTD.,BSE:NESTLEIND-A,500790,NESTLEIND
TATA CONSUMER PRODUCTS LIMITED,BSE:TATACONSUM-A,500800,TATACONSUM
ASIAN PAINTS LTD.,BSE:ASIANPAINT-A,500820,ASIANPAINT
BRITANNIA INDUSTRIES LTD.,BSE:BRITANNIA-A,500825,BRITANNIA
COLGATE-PALMOLIVE (INDIA) LTD.,BSE:COLPAL-A,500830,COLPAL
EIH LTD.,BSE:EIHOTEL-A,500840,EIHOTEL
INDIAN HOTELS CO.LTD.,BSE:INDHOTEL-A,500850,INDHOTEL
CASTROL INDIA LTD.,BSE:CASTROLIND-A,500870,CASTROLIND
ITC LTD.,BSE:ITC-A,500875,ITC
APOLLO TYRES LTD.,BSE:APOLLOTYRE-A,500877,APOLLOTYRE
CEAT LTD.,BSE:CEATLTD-A,500878,CEATLTD
MODI RUBBER LTD.,BSE:MODIRUBBER-T,500890,MODIRUBBER
FINOLEX INDUSTRIES LTD.,BSE:FINPIPE-A,500940,FINPIPE
SUNRISE INDUSTRIAL TRADERS LTD,BSE:SUNRINV-XT,501110,SUNRINV
GOLD ROCK INVESTMENTS LTD.,BSE:ZGOLDINV-XT,501111,ZGOLDINV
PEOPLES INVESTMENTS LTD.,BSE:PEOPLIN-XT,501144,PEOPLIN
DALAL STREET INVESTMENTS LTD.,BSE:DSINVEST-XT,501148,DSINVEST
CENTRUM CAPITAL LTD.,BSE:CENTRUM-B,501150,CENTRUM
KARTIK INVESTMENTS TRUST LTD.,BSE:KARTKIN-XT,501151,KARTKIN
TCI FINANCE LTD.,BSE:TCIFINANCE-B,501242,TCIFINANCE
KRATOS ENERGY & INFRASTRUCTURE,BSE:KRATOSENER-XT,501261,KRATOSENER
ANTARIKSH INDUSTRIES LIMITED,BSE:ANTARIKSH-XT,501270,ANTARIKSH
INDUSTRIAL INVESTMENT TRUST LT,BSE:IITL-B,501295,IITL
INDUSTRIAL & PRUDENTIAL INVEST,BSE:INDPRUD-X,501298,INDPRUD
TATA INVESTMENT CORPORATION LT,BSE:TATAINVEST-A,501301,TATAINVEST
JAYABHARAT CREDIT LTD.,BSE:JAYBHCR-X,501311,JAYBHCR
PRISMX GLOBAL VENTURES LIMITED,BSE:PRISMX-X,501314,PRISMX
MOTOR & GENERAL FINANCE LTD.,BSE:MOTOGENFIN-B,501343,MOTOGENFIN
WALCHAND PEOPLEFIRST LTD.,BSE:WALCHPF-X,501370,WALCHPF
SWASTIK SAFE DEPOSIT & INVESTM,BSE:ZSWASTSA-XT,501386,ZSWASTSA
W.H.BRADY & CO.LTD.,BSE:WHBRADY-X,501391,WHBRADY
TechNVision Ventures Limited,BSE:TECHNVISN-XT,501421,TECHNVISN
SHAILY ENGINEERING PLASTICS LT,BSE:SHAILY-B,501423,SHAILY
BOMBAY BURMAH TRADING CORP.LTD,BSE:BBTC-A,501425,BBTC
BOMBAY CYCLE & MOTOR AGENCY LT,BSE:BOMBCYC-X,501430,BOMBCYC
